badge,prize,expenses,prize+expenses,address,location,Area,Environments,Bedrooms,Bathrooms,href,description,published-date,Garage
$,20000,,20000,Pasaje Quintas 2700,"Caseros, Tres de Febrero",35,2,1,1,/propiedades/departamento-tipo-casa-en-alquiler-en-caseros-45425268.html,Departamento Tipo Casa en Alquiler en Caseros,Publicado hace 74 días,
$,30000,,30000,CHICLANA,"Caseros, Tres de Febrero",40,2,1,1,/propiedades/alquiler-de-depto.-de-2-amb.-en-caseros-45356051.html,Alquiler de Depto. de 2 Amb. en Caseros,Publicado hace 6 días,
$,27000,,27000,Avenida Mitre 5600,"Caseros, Tres de Febrero",56,2,1,1,/propiedades/departamento-tipo-casa-en-alquiler-en-caseros-45255488.html,Departamento Tipo Casa en Alquiler en Caseros,Publicado hace 12 días,
$,18000,1500.0,19500,Ciudad Jardín Lomas del Palomar,"Ciudad Jardín Lomas del Palomar, Tres de Febrero",30,1,1,1,/propiedades/en-alquiler-en-ciudad-jardin-a-1-cuadra-de-la-estacion-44863910.html,En Alquiler en Ciudad Jardin a 1 Cuadra de La Estacion de Martin Coronado; Mono Ambiente por Escaler,Publicado hace 25 días,
$,17500,2200.0,19700,Rauch 2014 caseros,"Caseros, Tres de Febrero",28,,,1,/propiedades/alquilo-1-ambiente-muy-luminoso-con-balcon-excelente-44859548.html,"Alquilo 1 Ambiente, Muy Luminoso con Balcón Excelente Ubicación",Publicado hace 2 días,
$,27000,,27000,Alberdi 4500. Entre Rauch y Perdiguero,"Caseros, Tres de Febrero",36,2,1,1,/propiedades/departamento-2-ambientes.-alberdi-al-4500-44600621.html,Departamento 2 Ambientes. | Alberdi Al 4500,Publicado hace 62 días,
$,22000,2800.0,24800,LISANDRO MEDINA 2089,"Caseros, Tres de Febrero",35,1,,1,/propiedades/monoambiente-apto-profesional-44582033.html,Monoambiente Apto Profesional,Publicado hace 78 días,
$,18500,2013.0,20513,Gral. Manuel Belgrano 4800. Entre Andres ferreyra y 3 de febrero,"Caseros, Tres de Febrero",32,1,,1,/propiedades/departamento-monoambiente.-gral.-manuel-belgrano-al-44481303.html,Departamento Monoambiente. | Gral. Manuel Belgrano Al 4800,Publicado hace 20 días,
$,22000,3000.0,25000,Jose Maria Bosch 1277,"Caseros, Tres de Febrero",32,1,,1,/propiedades/monoambiente-en-edificio-contrafrente-44470439.html,Monoambiente en Edificio Contrafrente,Publicado hace más de 1 año,
$,26000,,26000,Constitucion 2600. Entre Belgrano y Urquiza,"Caseros, Tres de Febrero",38,2,1,1,/propiedades/departamento-2-ambientes.-constitucion-al-2600-44360821.html,Departamento 2 Ambientes. | Constitucion Al 2600,Publicado hace 22 días,
$,17000,,17000,Gral. Manuel Belgrano 4800. Entre Andres ferreyra y 3 de febrero,"Caseros, Tres de Febrero",29,1,,1,/propiedades/departamento-monoambiente.-gral.-manuel-belgrano-al-44278655.html,Departamento Monoambiente. | Gral. Manuel Belgrano Al 4800,Publicado hace 36 días,
$,22000,3000.0,25000,Jose Murias 2274,"Caseros, Tres de Febrero",32,1,1,1,/propiedades/departamento-monoambiente-contrafrente-44068911.html,Departamento Monoambiente Contrafrente,Publicado hace 34 días,
$,25000,,25000,Padre. Carranza 1410,"Caseros, Tres de Febrero",31,2,1,1,/propiedades/departamento-tipo-casa-dos-ambientes-planta-baja-al-43939484.html,Departamento Tipo Casa Dos Ambientes Planta Baja Al Frente.,Publicado hace 34 días,
$,25000,,25000,Guemes 5030,"Villa Bosch, Tres de Febrero",40,2,1,1,/propiedades/departamento-dos-ambientes-planta-baja-al-frente-43218380.html,Departamento Dos Ambientes Planta Baja Al Frente Independiente,Publicado hace 69 días,
$,65000,,65000,"DE LA TORRE, LISANDRO 2100. Entre Amadeo sabattini y Wenceslao de tata","Caseros, Tres de Febrero",210,4,3,2,/propiedades/ph-4-ambientes-lisandro-de-la-torre-2100-42169563.html,PH 4 Ambientes Lisandro de La Torre 2100,Publicado hace 12 días,1
